band_name,album_name,song_name,release_year,duration_seconds,video_id,bit_depth,bitrate,channels,sample_rate
A Job for a Cowboy,Ruination,Entombment of a Machine,2013,247.52,nOJHbpijw3o,16,1536000,2,48000
Abbath,Abbath,Nebular Ravens Winter,2016,256.6965986,QJyTW1-Piwo,16,1411200,2,44100
Abbath,Abbath,Ashes Of The Damned,2016,238.097415,K5pMoSECagE,16,1411200,2,44100
Abbath,Outstrider,Harvest Pyre,2019,274.0883447,T_qa-wNbC4w,16,1411200,2,44100
Abbath,Abbath,Winter Bane,2016,409.8786395,yLdJSQDmVXw,16,1411200,2,44100
After The Burial,Dig Deep,Lost In The Static,2016,271.2787302,hUNAX1UYeAE,16,1411200,2,44100
Alcest,Kodama,Eclosion,2016,535.3360625,V-x87xt6rzU,16,1536000,2,48000
Amon Amarth,Surtur Rising,Destroyer of the Universe,2011,224.1886621,5aaOqUYG8Tw,16,1411200,2,44100
Amon Amarth,Twilight of the Thunder God,Live For The Kill,2008,249.7538322,Bh_5ofa__pY,16,1411200,2,44100
Amon Amarth,Surtur Rising,Aerials,2011,219.8929705,VnoGQMJKDr4,16,1411200,2,44100
Amon Amarth,Twilight of the Thunder God,Twilight Of The Thunder God,2008,265.5898413,edBYB1VCV0k,16,1411200,2,44100
Amon Amarth,Surtur Rising,Slaves of Fear,2011,265.1254422,MyVHiHxPdjU,16,1411200,2,44100
Amon Amarth,Twilight of the Thunder God,Free Will Sacrifice,2008,248.8018141,OjIYTgannxc,16,1411200,2,44100
Be'lakor,Of Breath and Bone,Abeyance,2012,484.7862292,rYBgWgjjgxQ,16,1536000,2,48000
Be'lakor,Stone's Reach,Venator,2009,517.9559375,ainbICPRV8Y,16,1536000,2,48000
Behemoth,I Loved You at Your Darkest,Ecclesia Diabolica Catholica,2018,324.3363265,HKWqzjQAv14,16,1411200,2,44100
Behemoth,I Loved You at Your Darkest,Bartzabel,2018,320.9462132,Dhfy9TPga-c,16,1411200,2,44100
Behemoth,The Satanist,Blow Your Trumpets Gabriel,2013,297.9352381,Czx-OIyrQwQ,16,1411200,2,44100
Born of Osiris,Tomorrow We Die Alive,Machine,2013,264.8235828,Y4OJzu97kEw,16,1411200,2,44100
Born of Osiris,Angel or Alien,White Nile,2021,229.0300417,4ShzP_M7W-k,16,1536000,2,48000
Born of Osiris,Tomorrow We Die Alive,Divergency,2013,246.5494785,L9ABuasa1Cc,16,1411200,2,44100
Cannibal Corpse,A Skeletal Domain,High Velocity Impact Spatter,2014,246.9442177,B3F10hXdmQY,16,1411200,2,44100
Cattle Decapitation,Monolith of Inhumanity,"A Living, Breathing Piece of Defecating Meat",2012,177.9809583,oWeTeFn0LhM,16,1536000,2,48000
Cattle Decapitation,Death Atlas,Bring Back the Plague,2019,297.7262585,lXGSLKWeVwE,16,1411200,2,44100
Cattle Decapitation,The Anthropocene Extinction,Manufactured Extinct,2015,281.0543311,u8t8g8lU4ms,16,1411200,2,44100
Cattle Decapitation,Monolith of Inhumanity,Forced Gender Reassignment,2012,233.7320635,tn4QjKcik8U,16,1411200,2,44100
Children of Bodom,Hexed,Under Grass And Clover,2019,213.0663039,1gpfzCxiQ-A,16,1411200,2,44100
Children of Bodom,Are You Dead Yet?,Living Dead Beat,2005,318.1365986,gG3JZ5vGJsk,16,1411200,2,44100
Children of Bodom,Hate Crew Deathroll,Needled 24 _ 7,2003,248.6392744,zVZ9VSm6VAk,16,1411200,2,44100
Children Of Bodom,Are You Dead Yet?,Are You Dead Yet,2005,236.2630385,aNJXS9X0yY0,16,1411200,2,44100
Children of Bodom,Hate Crew Deathroll,Sixpounder,2003,213.3449433,09KScSe4hIc,16,1411200,2,44100
Children Of Bodom,Follow the Reaper,Everytime I Die,2000,241.650068,5cEK1OLhUKQ,16,1411200,2,44100
Children Of Bodom,Are You Dead Yet?,In Your Face,2005,236.2630385,5SgN5lvWZwQ,16,1411200,2,44100
Dark Funeral,Where Shadows Forever Reign,Nail Them To The Cross,2016,283.1905669,plh22lTpnjY,16,1411200,2,44100
Dark Tranquillity,Fiction,Misery's Crown,2007,256.1161042,NKjzDU7V7es,16,1536000,2,48000
Dark Tranquillity,Lost to Apathy,Lost to Apathy,2004,240.8838095,GZqfH1LQEOQ,16,1411200,2,44100
Dark Tranquillity,Atoma,Atoma,2016,262.8266667,C_voh9WFbsM,16,1411200,2,44100
Death,Leprosy,Pull the Plug,1988,266.8204989,_duhhVa-dk8,16,1411200,2,44100
Death,Individual Thought Patterns,The Philosopher,1993,216.3867708,8256VJ4hkJU,16,1536000,2,48000
Decapitated,Anticult,Kill The Cult,2017,296.1705215,kQUTQTNChbE,16,1411200,2,44100
Decapitated,Blood Mantra,Blood Mantra,2014,305.9693424,8gILuUdY2cU,16,1411200,2,44100
Decapitated,Anticult,Earth Scar,2017,318.9492971,yR7AnukIl8U,16,1411200,2,44100
Devin Townsend Project,Transcendence,Stormbending,2016,322.9895692,YhcoLO8vZZU,16,1411200,2,44100
Ensiferum,Two Paths,Way of the Warrior,2017,238.7011338,PcxBjFK12zg,16,1411200,2,44100
Ensiferum,Unsung Heroes,In My Sword I Trust,2012,330.6753741,-2WqQY_xSSM,16,1411200,2,44100
Ensiferum,Iron,Lai Lai Hei,2004,435.2533333,uEqsfYLRqDc,16,1536000,2,48000
Enslaved,Caravans To The Outer Worlds,Caravans To The Outer Worlds,2021,382.3165533,ErTgN2zoTkA,16,1411200,2,44100
Godless,Swarm,Deathcult,2018,250.9844898,1CdtbR9JHCA,16,1411200,2,44100
Gojira,Magma,Stranded,2016,272.4397279,FNdC_3LR2AI,16,1411200,2,44100
Gojira,Magma,Silvera,2016,214.0647619,iVvXB-Vwnco,16,1411200,2,44100
Immortal,Northern Chaos Gods,Northern Chaos Gods,2018,265.4273016,c5uP9PlEDro,16,1411200,2,44100
Immortal,All Shall Fall,All Shall Fall,2009,346.093424,sOOebk_dKFo,16,1411200,2,44100
In Flames,Reroute to Remain,Cloud Connected,2002,223.3295238,B7iIS91fMAc,16,1411200,2,44100
Kalmah,Palo,The Evil Kin,2018,255.2801814,YT1dFV-9V_k,16,1411200,2,44100
Kalmah,Swampsong,Heroes To Us,2003,294.6380045,o1c0NCjFxj0,16,1411200,2,44100
Kataklysm,Of Ghosts and Gods,The Black Sheep,2015,339.4292971,V-KME77Pi60,16,1411200,2,44100
Lamb of God,Lamb of God,Memento Mori,2020,345.3503958,hBj0-dIU8HI,16,1536000,2,48000
Lamb of God,VII: Sturm Und Drang,Embers,2015,300.6519728,SCVvhUW7cxo,16,1411200,2,44100
Lamb of God,Ashes of the Wake,Laid to Rest,2004,234.1732426,HL9kaJZw8iw,16,1411200,2,44100
Lamb of God,Ashes of the Wake,Omerta,2004,287.5559184,-xYZM04JxnQ,16,1411200,2,44100
Lamb of God,VII: Sturm Und Drang,Overlord,2015,391.0704762,RNRsvFsY9qk,16,1411200,2,44100
Lamb of God,Ashes of the Wake,Now You've Got Something to Die For,2004,219.8000907,0m5fIHHfJTw,16,1411200,2,44100
Lamb of God,Sacrament,Walk with Me In Hell,2006,311.0080726,QWkhCxCcWSE,16,1411200,2,44100
Lamb of God,Ashes of the Wake,The Faded Line,2004,278.8019955,JuRRnVqv2Vc,16,1411200,2,44100
Lamb of God,Sacrament,Redneck,2006,248.5463946,oqdZpxkzNvc,16,1411200,2,44100
Mastodon,Leviathan,Blood and Thunder,2004,236.1237188,labytsb3gfI,16,1411200,2,44100
Meshuggah,obZen,Bleed,2008,298.4460771,qc98u-eGzlc,16,1411200,2,44100
Ne Obliviscaris,Citadel,Pyrrhic,2014,590.1351667,dCyxGNbBWAk,16,1536000,2,48000
Ne Obliviscaris,Citadel,Painters of the Tempest Part II Triptych Lux,2014,995.0533333,SEMiTqiFnNw,16,1536000,2,48000
Ne Obliviscaris,Urn,Urn Part I And Within the Void We Are Breathless,2017,451.245,pnyoRKNk7sQ,16,1536000,2,48000
Ne Obliviscaris,Urn,Urn Part II As Embers Dance In Our Eyes,2017,394.3444898,u9XLeME2Ie8,16,1411200,2,44100
Ne Obliviscaris,Citadel,Devour Me Colossus Part I Blackholes,2014,757.5045833,pSqWrQym3SM,16,1536000,2,48000
Ne Obliviscaris,Portal of I,And Plague Flowers the Kaleidoscope,2012,692.8533333,BNyYiTdqzAY,16,1536000,2,48000
Ne Obliviscaris,Urn,Intra Venus,2017,447.5530208,UgUn4EKLMnU,16,1536000,2,48000
Necrophobic,Mark Of The Necrogram,Tsar Bomba,2018,341.2636735,LbLzL8akcX4,16,1411200,2,44100
Nevermore,This Godless Endeavor,Born,2005,255.8374603,impRqn44OCA,16,1411200,2,44100
Nevermore,This Godless Endeavor,This Godless Endeavor,2005,535.8004535,yxUnhbaGap8,16,1411200,2,44100
Northlane,Clockwork,Clockwork,2021,249.7073923,TwyvWR25FsE,16,1411200,2,44100
Oceano,Depths,District of Misery,2009,194.6993197,z6P3iCEEwmk,16,1411200,2,44100
Of Mice & Men,Restoring Force,Bones Exposed,2014,271.0697506,IO-JbFtgeX4,16,1411200,2,44100
Of Mice & Men,Timeless,Obsolete,2021,270.0712925,hxu3KXVy48w,16,1411200,2,44100
Opeth,Ghost Reveries,Ghost of Perdition,2005,629.6322917,MDBykpSXsSE,16,1536000,2,48000
Opeth,Blackwater Park,The Drapery Falls,2001,655.4645,YeTNkPXRrVY,16,1536000,2,48000
Opeth,Watershed,The Lotus Eater,2008,530.5643542,XhohQNdSt7g,16,1536000,2,48000
Opeth,Deliverance,Deliverance,2002,818.3408617,rggQNCS8UjM,16,1411200,2,44100
Opeth,Blackwater Park,Blackwater Park,2001,732.8798333,j4xCb_OU_lM,16,1536000,2,48000
Parkway Drive,Horizons,Carrion,2007,188.0119728,BR2kSva4NT8,16,1411200,2,44100
Periphery,Periphery III: Select Difficulty,Marigold,2016,331.5345125,rmtU2WJfPgU,16,1411200,2,44100
Periphery,Periphery IV: Hail Stan,Blood Eagle,2019,358.0052608,SzznL_8DIUM,16,1411200,2,44100
Porcupine Tree,Deadwing,Open Car,2005,226.76,XehrSkDKupA,16,1536000,2,48000
Porcupine Tree,Deadwing,Halo,2005,278.52,nKE9RJVaFlA,16,1536000,2,48000
Rings of Saturn,Lugal Ki En,Senseless Massacre,2014,214.3333333,F3A_3c882us,16,1536000,2,48000
Slayer,Seasons in the Abyss,War Ensemble,1990,302.2541497,jqnC54vbUbU,16,1411200,2,44100
Slayer,South of Heaven,South Of Heaven,1988,298.5333333,74nTzbgDGWM,16,1536000,2,48000
Slipknot,We Are Not Your Kind,All Out Life,2019,356.2869841,wLoYIBEZEfw,16,1411200,2,44100
Slipknot,All Hope Is Gone,Psychosocial,2008,302.1148299,5abamRO41fE,16,1411200,2,44100
Strapping Young Lad,Alien,Love?,2005,275.6905215,LeG-6bpeUkA,16,1411200,2,44100
Suffocation,…Of the Dark Light,…of the Dark Light,2017,221.6344671,rtnu49xY3iA,16,1411200,2,44100
Suffocation,Effigy of the Forgotten,Effigy of the Forgotten,1991,230.0633107,taj7UfkahNE,16,1411200,2,44100
Suffocation,Human Waste,Infecting the Crypts,1991,289.44,P8iinvFR1a0,16,1536000,2,48000
Suffocation,…Of the Dark Light,Clarity Through Deprivation,2017,244.1810431,HUUBI7RJtr8,16,1411200,2,44100
Suicide Silence,The Cleansing,No Pity for a Coward,2007,191.9361451,hwxTEcHnC1o,16,1411200,2,44100
Suicide Silence,No Time to Bleed,Disengage,2009,246.9442177,FukeNR1ydOA,16,1411200,2,44100
Suicide Silence,The Black Crown,You Only Live Once,2011,192.6095238,ds9s-pzGD0M,16,1411200,2,44100
Suicide Silence,The Black Crown,Slaves To Substance,2011,230.1329705,k27N-jRofrM,16,1411200,2,44100
Tesseract,Odyssey,Nocturne,2015,271.0233107,get0cXOsSXg,16,1411200,2,44100
Testament,Brotherhood of the Snake,Brotherhood of the Snake,2016,254.0263039,oIvj-uYq9So,16,1411200,2,44100
Textures,Silhouettes,Laments Of An Icarus,2008,252.4937868,ZeYZxq4tRwE,16,1411200,2,44100
Textures,Silhouettes,Storm Warning,2008,346.8829025,4600fGWcn9o,16,1411200,2,44100
Textures,Silhouettes,Old Days Born Anew,2008,337.3627211,731QmPnjqe4,16,1411200,2,44100
Thy Art Is Murder,Hate,Reign Of Darkness,2012,236.1004989,47Plg93oJ1M,16,1411200,2,44100
Tool,Lateralus,Ticks & Leeches,2001,489.1515646,q0BOpkA2Vs4,16,1411200,2,44100
Veil of Maya,Outsider,Outsider,2020,255.9071202,Rlh_hxjmSvc,16,1411200,2,44100
Veil of Maya,False Idol,Overthrow,2017,237.2847166,GLu-E42-RmA,16,1411200,2,44100
Veil of Maya,Matriarch,Mikasa,2015,189.9160091,O4JU2QqQALs,16,1411200,2,44100
Whitechapel,Our Endless War,The Saw Is the Law,2014,267.6564172,rQqgjVAklHQ,16,1411200,2,44100
Wintersun,Time I,Sons of Winter and Stars,2012,811.1194558,ttoJ-Ro0L04,16,1411200,2,44100
Wintersun,Wintersun 2.0,Beautiful Death 2.0,2017,513.2074376,TNg-mfVnCWk,16,1411200,2,44100
Wintersun,Wintersun 2.0,Starchild 2.0,2017,491.5664399,oyuOjCfCsm4,16,1411200,2,44100
Wintersun,Time I,Time,2012,704.7720635,ebSxxr726_8,16,1411200,2,44100